Class	Method	English Term	Translated Term	Translated Term	Remarks	Example URL
General		my			"Used to preface the system code, i.e., myDLOC, myUFDC, etc.."	
General		Close			Used anytime a pop-up form should be closed	
General		Search			Used for any search boxes as button name	
General		Help			Anytime a button is provided for help on a particular function	
General		Submit			For submit buttons	
General		Save				
General		Cancel			For cancel buttons	
General		Sort by			Used as a prompt for sorting results by something	
General		First Page				
General		Previous Page				
General		Next Page				
General		Last Page				
General		First				
General		Previous				
General		Next				
General		Last				
General		January				
General		February				
General		March				
General		April 				
General		May 				
General		June				
General		July 				
General		August				
General		September				
General		October				
General		November				
General		December				
General		Unknown				
General		Error				
General		Total			"Used in a variety of places when displayed tables of numbers for usage or item count, etc.."	
General		BibID			Bibliographic Identifier	
General		VID			Volume identifier	
General		one				
General		two				
General		three				
General		four				
General		five				
General		six				
General		seven				
General		eight				
General		nine				
General		ten				
General		eleven				
General		twelve				
General		Print			For action buttons at aggregation or item level	
General		Send			For action buttons at aggregation or item level	
General		Share			For action buttons at aggregation or item level	
General		Describe			For action buttons at aggregation or item level	
General		Add			For action buttons at aggregation or item level	
General		Remove			For action buttons at aggregation or item level	
General		Missing Image			"Used as an alt tag for images, appears if the image is not existing"	
General		Missing Banner			"Used as the alt tag for the collection banners, appears if the benner is not existing"	
General		My Library			"Text for tabs under myUFDC, myDLOC, etc.."	
General		My Account			"Text for tabs under myUFDC, myDLOC, etc.."	
General		Internal			"Text for tabs under myUFDC, myDLOC, etc.."	
General		System Admin			"Text for tabs under myUFDC, myDLOC, etc.."	
General		Portal Admin			"Portal is the word we use for a particular URL. - Text for tabs under myUFDC, myDLOC, etc.."	
General		ACTIONS			Table 	
General		delete				
General		view				
General		{0} is a required field			Used for any form where a required field is left out	
General		The following errors were detected:			Used for any form where validation fails	
						
Html_MainWriter	Get_Page_Title	%1 Item			"Very rarely used for the title of the web page ( i.e., ""dLOC Item"" )"	
Html_MainWriter	Get_Page_Title	%1 Home			"Used for title of web page (i.e.,  ""dLOC - Home"" )"	
Html_MainWriter	Get_Page_Title	%1 Search			"Used for title of web page (i.e., ""dLOC - Search"" )"	
Html_MainWriter	Get_Page_Title	%1 Search Results			"Used for title of web page (i.e., ""dLOC - Search Results"" )"	
Html_MainWriter	Get_Page_Title	%1 Preferences			"Used for title of web page (i.e., ""dLOC - Preferences )"	
Html_MainWriter	Get_Page_Title	%1 Contact Us			"Used for title of web page (i.e., ""dLOC - Contact Us"" )"	
Html_MainWriter	Get_Page_Title	%1 Contact Sent			"Used for title of web page (i.e., ""dLOC - Contact Sent"" )"	
Html_MainWriter	Get_Page_Title	%1 Error			"Used for title of web page (i.e., ""dLOC Error )"	
Html_MainWriter		Log Out				
Html_MainWriter		%1's %2 				
						
						
URL_Email_Helper	Send_Email	%1 wanted you to see these search results on %2.			"%1=username, %2=SobekCM instance abbreviation (like UFDC, dLOC). When someone emails any search result page from the system"	
URL_Email_Helper	Send_Email	%1 wanted you to see these search results on %2 and included the following comments.			When someone emails any search result page from the system and includes comments	
URL_Email_Helper	Send_Email	%1 wanted you to see this page on %2.			When someone emails any other web page from the system	
URL_Email_Helper	Send_Email	%1 wanted you to see this page on %2 and included the following comments.			When someone emails any other web page from the system and includes comments	
URL_Email_Helper	Send_Email	Item from %1			"Used as the subject line of that email.  ""Item from dLOC"""	
